proteinID,description,modelnotes,defline
393547,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
394026,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
394591,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
394704,DOC2-DOC2,,Non-Catalytic Module Family DOC2
394809,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
395177,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
395776,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
396004,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
396071,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
396893,CBM48-GH13_8,,Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
397003,CBM48,,Carbohydrate-Binding Module Family 48 protein
398478,GT20,fragment N-term;,Glycosyltransferase Family 20 protein
398700,DOC2-DOC2,,Non-Catalytic Module Family DOC2
399348,GT2,,Glycosyltransferase Family 2 protein
399457,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
400125,GT8,fragment C-term;,Glycosyltransferase Family 8 protein
400178,GT2,,Glycosyltransferase Family 2 protein
400891,GT8,fragment C-term;,Glycosyltransferase Family 8 protein
400954,CE4,,Carbohydrate Esterase Family 4 protein
401027,GH18,,Glycoside Hydrolase Family 18 protein
401244,GH114,fragment N-term / C-term;,Glycoside Hydrolase Family 114 protein
401386,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
402045,GH43,,Glycoside Hydrolase Family 43 protein
402326,GH5_7,,Glycoside Hydrolase Family 5 protein
403028,GH74-DOC2-DOC2,,Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
403614,GH114,,Glycoside Hydrolase Family 114 protein
404396,GH18,,Glycoside Hydrolase Family 18 protein
404638,CBM18-CBM18-CBM18-CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
404762,GT76,,Glycosyltransferase Family 76 protein
404821,GH11,,Glycoside Hydrolase Family 11 protein
404849,GH16,,Glycoside Hydrolase Family 16 protein
404904,GT8,fragment C-term;,Glycosyltransferase Family 8 protein
404953,GT20,fragment N-term;,Glycosyltransferase Family 20 protein
405423,CE1,,Carbohydrate Esterase Family 1 protein
405488,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
406291,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
407042,GT8,fragment C-term;,Glycosyltransferase Family 8 protein
407080,GT20,fragment N-term;,Glycosyltransferase Family 20 protein
407760,DOC2-GH6,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
407772,CE2,,Carbohydrate Esterase Family 2 protein
407928,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
408662,CBM18-CE4,,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
408675,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
409275,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
409299,GT20,fragment N-term;,Glycosyltransferase Family 20 protein
409744,CE6-DOC2-DOC2,,Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
410410,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
410842,GH9-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
412504,GT39,,Glycosyltransferase Family 39 protein
412869,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
412927,CE8,fragment C-term;,Carbohydrate Esterase Family 8 protein
412934,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
412951,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
413368,GH32,,Glycoside Hydrolase Family 32 protein
413400,GH32,,Glycoside Hydrolase Family 32 protein
413466,GH32,,Glycoside Hydrolase Family 32 protein
413467,GH32,,Glycoside Hydrolase Family 32 protein
413475,GH32,,Glycoside Hydrolase Family 32 protein
413535,GH32,,Glycoside Hydrolase Family 32 protein
413639,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
414104,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
414424,CE1-DOC2-DOC2-GH11,,Carbohydrate Esterase Family 1  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 11 protein
414460,GT39,,Glycosyltransferase Family 39 protein
414576,DOC2-DOC2,,Non-Catalytic Module Family DOC2
414746,GH31,,Glycoside Hydrolase Family 31 protein
415155,GT22,,Glycosyltransferase Family 22 protein
415208,GT39,fragment N-term / C-term;,Glycosyltransferase Family 39 protein
415263,PL3_2,,Polysaccharide Lyase Family 3 protein
415324,PL3_2,,Polysaccharide Lyase Family 3 protein
416432,GH16,,Glycoside Hydrolase Family 16 protein
416680,GH5_7-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
416814,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
417538,GH10,fragment N-term;,Glycoside Hydrolase Family 10 protein
418140,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
418244,GH16,,Glycoside Hydrolase Family 16 protein
418972,GT15,fragment C-term;,Glycosyltransferase Family 15 protein
419146,GT39,,Glycosyltransferase Family 39 protein
421281,GH31,,Glycoside Hydrolase Family 31 protein
421796,PL3_2,,Polysaccharide Lyase Family 3 protein
421850,GH45,,Glycoside Hydrolase Family 45 protein
421930,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
422350,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
422499,GT22,,Glycosyltransferase Family 22 protein
422699,CE4,,Carbohydrate Esterase Family 4 protein
422780,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
422905,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
422993,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
423002,CE1,,Carbohydrate Esterase Family 1 protein
423063,CE1,,Carbohydrate Esterase Family 1 protein
423097,GT2,,Glycosyltransferase Family 2 protein
423103,GT41,(fragment)  splicing problem;,Glycosyltransferase Family 41 protein
423181,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
423939,GH10,fragment N-term;,Glycoside Hydrolase Family 10 protein
424051,GH45,,Glycoside Hydrolase Family 45 protein
424266,EXPN,,Distantly related to plant expansins
425406,DOC2-DOC2,,Non-Catalytic Module Family DOC2
425440,GH18,,Glycoside Hydrolase Family 18 protein
425520,GH11-GH11-DOC2,,Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
425567,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
425970,CBM35-GH26-DOC2-DOC2,,Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
427076,GT22,fragment C-term;,Glycosyltransferase Family 22 protein
427432,GH16,,Glycoside Hydrolase Family 16 protein
427438,GH16,,Glycoside Hydrolase Family 16 protein
427496,CE1,,Carbohydrate Esterase Family 1 protein
428391,CBM18-CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
428519,CE1,,Carbohydrate Esterase Family 1 protein
428788,DOC2-DOC2,fragment C-term;,Non-Catalytic Module Family DOC2
429257,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
430290,GT35,,Glycosyltransferase Family 35 protein
430747,GH18,fragment N-term;,Glycoside Hydrolase Family 18 protein
431204,DOC2,,Non-Catalytic Module Family DOC2
431218,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
431319,DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
431385,CBM48-GH13_8,,Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
431775,GH47,,Glycoside Hydrolase Family 47 protein
432147,GH45,,Glycoside Hydrolase Family 45 protein
432482,DOC2-DOC2,,Non-Catalytic Module Family DOC2
432637,CE1,,Carbohydrate Esterase Family 1 protein
433293,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
433303,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
433378,GT2,,Glycosyltransferase Family 2 protein
434461,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
435416,GT71,,Glycosyltransferase Family 71 protein
435585,DOC2-DOC2-DOC2-CBM1,fragment C-term;,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
435599,DOC2-DOC2,fragment N-term / C-term;,Non-Catalytic Module Family DOC2
436099,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
436306,CBM1,,Carbohydrate-Binding Module Family 1 protein
436430,DOC2,,Non-Catalytic Module Family DOC2
438186,CBM18-CBM18-CE4,,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
438200,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
439315,CBM35-GH26-DOC2-DOC2,,Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
439541,GH1,,Glycoside Hydrolase Family 1 protein
441602,GH47,fragment N-term / C-term;,Glycoside Hydrolase Family 47 protein
441719,GT20,fragment N-term;,Glycosyltransferase Family 20 protein
441967,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
442487,DOC2,,Non-Catalytic Module Family DOC2
443430,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
443913,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
446039,GH5_7-CBM1-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 1  / Non-Catalytic Module Family DOC2
446618,GT2,fragment C-term;,Glycosyltransferase Family 2 protein
447807,DOC2-DOC2-DOC2-GH5_1,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
447808,DOC2-DOC2-DOC2-GH5_1,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
448330,CE8-CBM1,,Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
448341,DOC2-DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
448521,CE6,,Carbohydrate Esterase Family 6 protein
448531,DOC2-DOC2,,Non-Catalytic Module Family DOC2
448538,DOC2-DOC2-CBM1-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
448588,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
448590,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
448696,GH3,,Glycoside Hydrolase Family 3 protein
449056,DOC2-DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
449693,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
449966,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
449973,DOC2-DOC2,,Non-Catalytic Module Family DOC2
450047,PL1_6,(fragment)  splicing problem;,Polysaccharide Lyase Family 1 protein
450177,GT34,fragment N-term / C-term;,Glycosyltransferase Family 34 protein
450258,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
450280,GT2,,Glycosyltransferase Family 2 protein
450319,CE4,,Carbohydrate Esterase Family 4 protein
450482,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
450522,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
450717,GH114,,Glycoside Hydrolase Family 114 protein
450949,DOC2-DOC2,,Non-Catalytic Module Family DOC2
450961,CE4,,Carbohydrate Esterase Family 4 protein
450966,GT2,,Glycosyltransferase Family 2 protein
451288,DOC2,,Non-Catalytic Module Family DOC2
451563,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
451565,GH5_7,,Glycoside Hydrolase Family 5 protein
451945,Myosin_motor-GT2,,Glycosyltransferase Family 2 protein
452019,EXPN,,Distantly related to plant expansins
452048,CE1,,Carbohydrate Esterase Family 1 protein
452118,CE4,,Carbohydrate Esterase Family 4 protein
452122,CE4,,Carbohydrate Esterase Family 4 protein
452124,CE4,,Carbohydrate Esterase Family 4 protein
452138,CE4,,Carbohydrate Esterase Family 4 protein
452352,CBM1-CE4,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
452354,CBM1-CE4,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
452527,DOC2-DOC2,,Non-Catalytic Module Family DOC2
452530,DOC2-DOC2,,Non-Catalytic Module Family DOC2
452532,DOC2-DOC2,,Non-Catalytic Module Family DOC2
453403,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
453694,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
453785,CBM18-CBM18-CBM18-GH18,,Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
453851,GH3,,Glycoside Hydrolase Family 3 protein
453855,GH3,,Glycoside Hydrolase Family 3 protein
453952,CBM18,,Carbohydrate-Binding Module Family 18 protein
454040,GH114,,Glycoside Hydrolase Family 114 protein
454159,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
454585,CE4,,Carbohydrate Esterase Family 4 protein
454609,CBM1,,Carbohydrate-Binding Module Family 1 protein
454775,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
454886,CBM1-CE4,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
455299,DOC2-DOC2,,Non-Catalytic Module Family DOC2
455345,GH114,,Glycoside Hydrolase Family 114 protein
455557,CBM48-GH13_8,,Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
455608,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
456027,DOC2-CBM13-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
456122,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
456134,DOC2-DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
456168,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
456174,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
456262,GT39,,Glycosyltransferase Family 39 protein
456326,PL4_dist-DOC2-DOC2,,Polysaccharide Lyase Family 4  / Non-Catalytic Module Family DOC2
456409,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
456457,DOC2-DOC2-DOC2-DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
456489,GH114-DOC2-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 114  / Non-Catalytic Module Family DOC2
456492,GH114,,Glycoside Hydrolase Family 114 protein
456526,CBM18-CBM18-CE4,fragment C-term;,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
456648,GH5_4,,Glycoside Hydrolase Family 5 protein
456708,GT50,,Glycosyltransferase Family 50 protein
456984,GT32,fragment C-term;,Glycosyltransferase Family 32 protein
457335,CE8,,Carbohydrate Esterase Family 8 protein
457337,CE8,,Carbohydrate Esterase Family 8 protein
457677,GT2,,Glycosyltransferase Family 2 protein
458000,EXPN-CBM63-DOC2-DOC2,,Distantly related to plant expansins / Carbohydrate-Binding Module Family 63  / Non-Catalytic Module Family DOC2
458176,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
458251,DOC2-GH30_5,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 30 protein
458267,GH10,,Glycoside Hydrolase Family 10 protein
458269,CBM18-GH18,(fragment)  splicing problem;,Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
458292,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
458433,CE16-DOC2-DOC2,,Carbohydrate Esterase Family 16  / Non-Catalytic Module Family DOC2
458440,EXPN-CBM63,,Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
458624,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
458908,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
459028,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
459085,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
459188,CBM1,,Carbohydrate-Binding Module Family 1 protein
459306,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
459413,Myosin_motor-GT2,,Glycosyltransferase Family 2 protein
459743,PL3_2,,Polysaccharide Lyase Family 3 protein
459744,PL3_2,,Polysaccharide Lyase Family 3 protein
459787,GT34,,Glycosyltransferase Family 34 protein
460043,DOC2-DOC2-CBM1-GH45,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 45 protein
460356,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
460692,DOC2-DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
460913,DOC2-DOC2,,Non-Catalytic Module Family DOC2
460987,CE8-CBM1,,Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
461085,GT1,,Glycosyltransferase Family 1 protein
461868,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
461921,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
462082,Myosin_motor-GT2,,Glycosyltransferase Family 2 protein
462091,DOC2-DOC2-GH43,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 43 protein
462277,DOC2-DOC2,,Non-Catalytic Module Family DOC2
462323,GH10-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
462502,GH9-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
462506,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
462508,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
462718,GT3,,Glycosyltransferase Family 3 protein
462738,DOC2-DOC2,,Non-Catalytic Module Family DOC2
463299,GH11-DOC2-DOC2-DOC2-GH11,fragment N-term;,Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
463607,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
463614,CE2,,Carbohydrate Esterase Family 2 protein
463642,GH53-DOC2-DOC2,,Glycoside Hydrolase Family 53  / Non-Catalytic Module Family DOC2
463830,DOC2-DOC2,,Non-Catalytic Module Family DOC2
463840,GH3,,Glycoside Hydrolase Family 3 protein
463844,GH3,,Glycoside Hydrolase Family 3 protein
463869,CBM12,,Carbohydrate-Binding Module Family 12 protein
464037,CE1,,Carbohydrate Esterase Family 1 protein
464236,CE1,,Carbohydrate Esterase Family 1 protein
464376,DOC2-DOC2-DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
464556,GH3,,Glycoside Hydrolase Family 3 protein
464557,DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
464651,DOC2-DOC2,,Non-Catalytic Module Family DOC2
464686,GH43,,Glycoside Hydrolase Family 43 protein
464781,GT1,,Glycosyltransferase Family 1 protein
464945,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
464995,CE4,,Carbohydrate Esterase Family 4 protein
465072,DOC2-DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
465112,CBM18-DOC2-DOC2-DOC2,,Carbohydrate-Binding Module Family 18  / Non-Catalytic Module Family DOC2
465266,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
465517,CE4,,Carbohydrate Esterase Family 4 protein
465520,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
465533,CE4,,Carbohydrate Esterase Family 4 protein
498414,PL4_dist,fragment N-term;,Polysaccharide Lyase Family 4 protein
498477,GH5_4,(fragment)  splicing problem;,Glycoside Hydrolase Family 5 protein
498775,GH43,fragment N-term;,Glycoside Hydrolase Family 43 protein
498885,GH31,fragment N-term;,Glycoside Hydrolase Family 31 protein
499216,GH25,,Glycoside Hydrolase Family 25 protein
499508,GH3,fragment N-term / C-term;,Glycoside Hydrolase Family 3 protein
499509,GH3,,Glycoside Hydrolase Family 3 protein
499511,GH3,,Glycoside Hydrolase Family 3 protein
499512,GH3,,Glycoside Hydrolase Family 3 protein
499706,GH115,fragment N-term / C-term;,Glycoside Hydrolase Family 115 protein
499796,CBM21,,Carbohydrate-Binding Module Family 21 protein
499965,PL4_dist,,Polysaccharide Lyase Family 4 protein
499974,PL4_dist,fragment C-term;,Polysaccharide Lyase Family 4 protein
500250,DOC2,(fragment)  splicing problem;,Non-Catalytic Module Family DOC2
501343,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
502294,Myosin_motor-GT2,,Glycosyltransferase Family 2 protein
502304,PL1,fragment N-term;,Polysaccharide Lyase Family 1 protein
502701,GH18,,Glycoside Hydrolase Family 18 protein
502882,CE16,fragment C-term;,Carbohydrate Esterase Family 16 protein
503072,Myosin_motor-GT2,,Glycosyltransferase Family 2 protein
503204,DOC2-CBM13-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
503316,GT39,,Glycosyltransferase Family 39 protein
503347,GH114,,Glycoside Hydrolase Family 114 protein
503730,GH45,,Glycoside Hydrolase Family 45 protein
503798,GH45-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 45  / Non-Catalytic Module Family DOC2
503912,CE16,fragment N-term;,Carbohydrate Esterase Family 16 protein
504126,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
504139,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
504234,CBM18,,Carbohydrate-Binding Module Family 18 protein
505077,DOC2-DOC2-DOC2-DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
505251,PL4_dist,fragment C-term;,Polysaccharide Lyase Family 4 protein
505258,GT2,fragment N-term;,Glycosyltransferase Family 2 protein
505300,CE16,fragment N-term;,Carbohydrate Esterase Family 16 protein
505319,DOC2-DOC2,,Non-Catalytic Module Family DOC2
505346,CE16,fragment N-term / C-term;,Carbohydrate Esterase Family 16 protein
505553,CBM1,,Carbohydrate-Binding Module Family 1 protein
505906,GT2,(fragment)  splicing problem;,Glycosyltransferase Family 2 protein
506345,CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
506388,DOC2-GH10,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
506443,GT17,,Glycosyltransferase Family 17 protein
506480,CBM1-CE4,,Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
506993,CBM48,,Carbohydrate-Binding Module Family 48 protein
507161,CBM1,,Carbohydrate-Binding Module Family 1 protein
507255,CBM48,,Carbohydrate-Binding Module Family 48 protein
507273,CBM48,,Carbohydrate-Binding Module Family 48 protein
507530,CBM52,,Carbohydrate-Binding Module Family 52 protein
507626,CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
507778,GH6,fragment C-term;,Glycoside Hydrolase Family 6 protein
507824,CBM32,,Carbohydrate-Binding Module Family 32 protein
507851,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
507924,GH5_7,fragment N-term;,Glycoside Hydrolase Family 5 protein
507958,GH32,fragment N-term;,Glycoside Hydrolase Family 32 protein
508556,GH5_5,fragment C-term;,Glycoside Hydrolase Family 5 protein
508787,CBM32,,Carbohydrate-Binding Module Family 32 protein
508902,GT39,,Glycosyltransferase Family 39 protein
509009,DOC2,,Non-Catalytic Module Family DOC2
509135,CBM18-CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
509179,CBM18,,Carbohydrate-Binding Module Family 18 protein
509184,CE16,fragment N-term;,Carbohydrate Esterase Family 16 protein
509280,CE4,,Carbohydrate Esterase Family 4 protein
509421,PL1,,Polysaccharide Lyase Family 1 protein
509425,GT39,,Glycosyltransferase Family 39 protein
509518,DOC2,,Non-Catalytic Module Family DOC2
509540,DOC2-GH26,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
509807,GH3,fragment C-term;,Glycoside Hydrolase Family 3 protein
509925,GH10,,Glycoside Hydrolase Family 10 protein
509936,PL11_2,,Polysaccharide Lyase Family 11 protein
510011,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
510372,GH45,,Glycoside Hydrolase Family 45 protein
510818,DOC2,,Non-Catalytic Module Family DOC2
510889,CBM1,,Carbohydrate-Binding Module Family 1 protein
511028,GT22,fragment C-term;,Glycosyltransferase Family 22 protein
511464,DOC2,,Non-Catalytic Module Family DOC2
511698,CE16,fragment N-term;,Carbohydrate Esterase Family 16 protein
511699,GT2,,Glycosyltransferase Family 2 protein
511702,GT2,,Glycosyltransferase Family 2 protein
511703,GT11,,Glycosyltransferase Family 11 protein
511706,CE16,fragment C-term;,Carbohydrate Esterase Family 16 protein
511709,GT2,fragment C-term;,Glycosyltransferase Family 2 protein
511818,DOC2,,Non-Catalytic Module Family DOC2
511963,CE16,fragment N-term;,Carbohydrate Esterase Family 16 protein
512089,GH3,fragment N-term / C-term;,Glycoside Hydrolase Family 3 protein
512186,CE1,,Carbohydrate Esterase Family 1 protein
512629,GT34,fragment N-term;,Glycosyltransferase Family 34 protein
512757,GH114,,Glycoside Hydrolase Family 114 protein
512781,CE8,,Carbohydrate Esterase Family 8 protein
512795,GT10,fragment C-term;,Glycosyltransferase Family 10 protein
512796,GT2,fragment N-term;,Glycosyltransferase Family 2 protein
512798,GT8,,Glycosyltransferase Family 8 protein
512799,GT2,,Glycosyltransferase Family 2 protein
512803,GT2,,Glycosyltransferase Family 2 protein
512805,CE16,fragment N-term / C-term;,Carbohydrate Esterase Family 16 protein
512806,CE16,fragment N-term;,Carbohydrate Esterase Family 16 protein
512947,GH37,,Glycoside Hydrolase Family 37 protein
513059,GH10,fragment C-term;,Glycoside Hydrolase Family 10 protein
513178,GH43,fragment N-term / C-term;,Glycoside Hydrolase Family 43 protein
513182,GH43,,Glycoside Hydrolase Family 43 protein
513195,GH115,fragment N-term;,Glycoside Hydrolase Family 115 protein
513332,CBM50-CBM50-CE4,,Carbohydrate-Binding Module Family 50  / Carbohydrate Esterase Family 4 protein
513522,GH24,,Glycoside Hydrolase Family 24 protein
513654,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
513655,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
513657,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
