#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
213231	213231	KOG2655	Septin family protein (P-loop GTPase)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
217341	217341	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
222651	222651	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
226006	226006	KOG4164	Cyclin ik3-1/CABLES	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
228437	228437	KOG2043	Signaling protein SWIFT and related BRCT domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
229592	229592	KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
234278	234278	KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
238343	238343	KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
271273	271273	KOG2043	Signaling protein SWIFT and related BRCT domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
283519	283519	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
284846	284846	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
287475	287475	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
288019	288019	KOG2655	Septin family protein (P-loop GTPase)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
301654	300542	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
316889	315777	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
318147	317035	KOG0600	Cdc2-related protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
328627	327515	KOG0601	Cyclin-dependent kinase WEE1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
331699	330587	KOG0600	Cdc2-related protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
337253	336141	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
337851	336739	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
339862	338750	KOG0440	Cell cycle-associated protein Mob1-1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
341889	340777	KOG2277	S-M checkpoint control protein CID1 and related nucleotidyltransferases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
344756	343644	KOG0964	Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin, subunit SMC3)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
346353	345241	KOG0892	Protein kinase ATM/Tel1, involved in telomere length regulation and DNA repair	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
358414	357302	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
362151	361039	KOG2045	5'-3' exonuclease XRN1/KEM1/SEP1 involved in DNA strand exchange and mRNA turnover	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
375696	374584	KOG3772	M-phase inducer phosphatase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
376438	375326	KOG0018	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
377879	376767	KOG1938	Protein with predicted involvement in meiosis (GSG1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
379710	378598	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
379748	378636	KOG2398	Predicted proline-serine-threonine phosphatase-interacting protein (PSTPIP)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
380259	379147	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
380391	379279	KOG0267	Microtubule severing protein katanin p80 subunit B (contains WD40 repeats)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
380676	379564	KOG1547	Septin CDC10 and related P-loop GTPases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
381064	379952	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
381562	380450	KOG2952	Cell cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
381747	380635	KOG1036	Mitotic spindle checkpoint protein BUB3, WD repeat superfamily	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
382622	381510	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
383208	382096	KOG0659	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, kinase subunit CDK7	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
384183	383071	KOG2864	Nuclear division RFT1 protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
384858	383746	KOG3924	Putative protein methyltransferase involved in meiosis and transcriptional silencing (Dot1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
386424	385312	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
386550	385438	KOG3022	Predicted ATPase, nucleotide-binding	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
386718	385606	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
386900	385788	KOG2166	Cullins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
389290	388178	KOG0653	Cyclin B and related kinase-activating proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
389700	388588	KOG1126	DNA-binding cell division cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
389814	388702	KOG0890	Protein kinase of the PI-3 kinase family involved in mitotic growth, DNA repair and meiotic recombination	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
390750	389638	KOG2496	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
390880	389768	KOG0996	Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin, subunit C)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
391074	389962	KOG3687	Tuberin - Rap/ran-GTPase-activating protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
392016	390904	KOG3433	Protein involved in meiotic recombination/predicted coiled-coil protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
392854	391742	KOG3694	Protein required for meiosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
394099	392987	KOG1507	Nucleosome assembly protein NAP-1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
395348	394236	KOG1746	Defender against cell death protein/oligosaccharyltransferase, epsilon subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
397051	395939	KOG1166	Mitotic checkpoint serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
397060	395948	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
397631	396519	KOG1860	Nuclear protein export factor	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
400468	399356	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
400522	399410	KOG1101	Apoptosis inhibitor IAP1 and related BIR domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
401242	400130	KOG0642	Cell-cycle nuclear protein, contains WD-40 repeats	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
401309	400197	KOG0305	Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
401369	400257	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
401389	400277	KOG1493	Anaphase-promoting complex (APC), subunit 11	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
401842	400730	KOG2687	Spindle pole body protein, contains UNC-84 domain	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
403070	401958	KOG0580	Serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
403729	402617	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
403800	402688	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
403973	402861	KOG0642	Cell-cycle nuclear protein, contains WD-40 repeats	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
404215	403103	KOG0305	Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
405430	404318	KOG0596	Dual specificity; serine/threonine and tyrosine kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
405541	404429	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
406377	405265	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
407281	406169	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
408763	407651	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
409568	408456	KOG0653	Cyclin B and related kinase-activating proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
409951	408839	KOG3285	Spindle assembly checkpoint protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
411077	409965	KOG0580	Serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
411356	410244	KOG1746	Defender against cell death protein/oligosaccharyltransferase, epsilon subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
411822	410710	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
412209	411097	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
412389	411277	KOG0653	Cyclin B and related kinase-activating proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
413194	412082	KOG1860	Nuclear protein export factor	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
413588	412476	KOG0653	Cyclin B and related kinase-activating proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
413668	412556	KOG1155	Anaphase-promoting complex (APC), Cdc23 subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
414376	413264	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
414686	413574	KOG1099	SAM-dependent methyltransferase/cell division protein FtsJ	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
415698	414586	KOG0653	Cyclin B and related kinase-activating proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
415915	414803	KOG0588	Serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
417490	416378	KOG1155	Anaphase-promoting complex (APC), Cdc23 subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
417849	416737	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
418248	417136	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
418257	417145	KOG0600	Cdc2-related protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
423174	422062	KOG2360	Proliferation-associated nucleolar protein  (NOL1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
423284	422172	KOG2166	Cullins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
426767	425655	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
427449	426337	KOG2655	Septin family protein (P-loop GTPase)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
428529	427417	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
429837	428725	KOG2035	Replication factor C, subunit RFC3	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
429924	428812	KOG1101	Apoptosis inhibitor IAP1 and related BIR domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
430857	429745	KOG2687	Spindle pole body protein, contains UNC-84 domain	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
432118	431006	KOG0822	Protein kinase inhibitor	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
432790	431678	KOG0987	DNA helicase PIF1/RRM3	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
434271	433159	KOG2277	S-M checkpoint control protein CID1 and related nucleotidyltransferases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
434954	433842	KOG1493	Anaphase-promoting complex (APC), subunit 11	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
435386	434274	KOG2151	Predicted transcriptional regulator	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
435729	434617	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
436136	435024	KOG0653	Cyclin B and related kinase-activating proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
437198	436086	KOG4660	Protein Mei2, essential for commitment to meiosis, and related proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
437345	436233	KOG2687	Spindle pole body protein, contains UNC-84 domain	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
442016	440904	KOG1213	Sister chromatid cohesion complex Cohesin, subunit RAD21/SCC1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
443129	442017	KOG2151	Predicted transcriptional regulator	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
445220	444108	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
447543	446431	KOG2655	Septin family protein (P-loop GTPase)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
447895	446783	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
448366	447254	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
448369	447257	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
449346	448234	KOG0979	Structural maintenance of chromosome protein SMC5/Spr18, SMC superfamily	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
450041	448929	KOG0659	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, kinase subunit CDK7	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
450142	449030	KOG2952	Cell cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
450209	449097	KOG3772	M-phase inducer phosphatase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
450338	449226	KOG2867	Phosphotyrosyl phosphatase activator	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
450425	449313	KOG2513	Protein required for meiotic chromosome segregation	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
451176	450064	KOG0028	Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
451254	450142	KOG0050	mRNA splicing protein CDC5 (Myb superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
451559	450447	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
452096	450984	KOG0305	Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
452579	451467	KOG0580	Serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
452903	451791	KOG2952	Cell cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
453832	452720	KOG4660	Protein Mei2, essential for commitment to meiosis, and related proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
454702	453590	KOG3437	Anaphase-promoting complex (APC), subunit 10	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
454824	453712	KOG1547	Septin CDC10 and related P-loop GTPases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
455165	454053	KOG2688	Transcription-associated recombination protein - Thp1p	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
456192	455080	KOG1173	Anaphase-promoting complex (APC), Cdc16 subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
457718	456606	KOG1915	Cell cycle control protein (crooked neck)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
458396	457284	KOG2260	Cell division cycle 37 protein, CDC37	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
459439	458327	KOG0590	Checkpoint kinase and related serine/threonine protein kinases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
459467	458355	KOG0668	Casein kinase II, alpha subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
460154	459042	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
460501	459389	KOG3414	Component of the U4/U6.U5 snRNP/mitosis protein DIM1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
460912	459800	KOG0082	G-protein alpha subunit (small G protein superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
461567	460455	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
461573	460461	KOG3022	Predicted ATPase, nucleotide-binding	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
462731	461619	KOG4115	Dynein-associated protein Roadblock	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
462998	461886	KOG1099	SAM-dependent methyltransferase/cell division protein FtsJ	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
463105	461993	KOG2874	rRNA processing protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
463150	462038	KOG0050	mRNA splicing protein CDC5 (Myb superfamily)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
464491	463379	KOG2609	Cyclin D-interacting protein GCIP	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
499854	498742	KOG2277	S-M checkpoint control protein CID1 and related nucleotidyltransferases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
500070	498958	KOG2218	ER to golgi transport protein/RAD50-interacting protein 1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
500080	498968	KOG1810	Cell cycle-associated protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
500425	499313	KOG2655	Septin family protein (P-loop GTPase)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
500487	499375	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
500926	499814	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
501157	500045	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
501287	500175	KOG1517	Guanine nucleotide binding protein MIP1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
501303	500191	KOG2168	Cullins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
501506	500394	KOG2277	S-M checkpoint control protein CID1 and related nucleotidyltransferases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
501628	500516	KOG1126	DNA-binding cell division cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
501814	500702	KOG1126	DNA-binding cell division cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
502291	501179	KOG0964	Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin, subunit SMC3)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
502456	501344	KOG2655	Septin family protein (P-loop GTPase)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
502510	501398	KOG0440	Cell cycle-associated protein Mob1-1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
502963	501851	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
503033	501921	KOG3092	Casein kinase II, beta subunit	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
503163	502051	KOG2739	Leucine-rich acidic nuclear protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
503276	502164	KOG2073	SAP family cell cycle dependent phosphatase-associated protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
503397	502285	KOG1126	DNA-binding cell division cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
503613	502501	KOG2277	S-M checkpoint control protein CID1 and related nucleotidyltransferases	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
504248	503136	KOG4124	Putative transcriptional repressor regulating G2/M transition	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
504658	503546	KOG2260	Cell division cycle 37 protein, CDC37	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
505140	504028	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
505304	504192	KOG2043	Signaling protein SWIFT and related BRCT domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
505390	504278	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
505409	504297	KOG2011	Sister chromatid cohesion complex Cohesin, subunit STAG/IRR1/SCC3	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
505483	504371	KOG0933	Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin, subunit E)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
505516	504404	KOG0575	Polo-like serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
506314	505202	KOG2043	Signaling protein SWIFT and related BRCT domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
506546	505434	KOG2025	Chromosome condensation complex Condensin, subunit G	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
506609	505497	KOG2043	Signaling protein SWIFT and related BRCT domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
506741	505629	KOG3186	Mitotic spindle checkpoint protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
506792	505680	KOG2166	Cullins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
506793	505681	KOG2166	Cullins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
507173	506061	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
507207	506095	KOG0018	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
507208	506096	KOG0018	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
507565	506453	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
507590	506478	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
508555	507443	KOG2809	Telomerase elongation inhibitor/RNA maturation protein PINX1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
509123	508011	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
509822	508710	KOG4156	Claspin, protein mediating phosphorylation and activation of Chk1 protein kinase in the DNA replication checkpoint response	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
509924	508812	KOG1126	DNA-binding cell division cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
510028	508916	KOG3105	DNA-binding centromere protein B (CENP-B)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
510154	509042	KOG1166	Mitotic checkpoint serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
510199	509087	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
510363	509251	KOG2809	Telomerase elongation inhibitor/RNA maturation protein PINX1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
510522	509410	KOG1126	DNA-binding cell division cycle control protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
510563	509451	KOG0653	Cyclin B and related kinase-activating proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
510762	509650	KOG4775	Uncharacterized protein SFI1 involved in G(2)-M transition	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
511093	509981	KOG2073	SAP family cell cycle dependent phosphatase-associated protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
511314	510202	KOG4124	Putative transcriptional repressor regulating G2/M transition	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
511428	510316	KOG0889	Histone acetyltransferase SAGA, TRRAP/TRA1 component, PI-3 kinase superfamily	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
511431	510319	KOG4456	Inner centromere protein (INCENP), C-terminal domain	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
512378	511266	KOG2043	Signaling protein SWIFT and related BRCT domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
512525	511413	KOG1525	Sister chromatid cohesion complex Cohesin, subunit PDS5	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
512526	511414	KOG1525	Sister chromatid cohesion complex Cohesin, subunit PDS5	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
512777	511665	KOG4256	Kinetochore component	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
513180	512068	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
513181	512069	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
513480	512368	KOG4466	Component of histone deacetylase complex (breast carcinoma metastasis suppressor 1 protein in human)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
513624	512512	KOG1546	Metacaspase involved in regulation of apoptosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
513779	512667	KOG0834	CDK9 kinase-activating protein cyclin T	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
515042	513930	KOG2043	Signaling protein SWIFT and related BRCT domain proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
515183	514071	KOG2151	Predicted transcriptional regulator	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
515264	514152	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
515567	514455	KOG1938	Protein with predicted involvement in meiosis (GSG1)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
515645	514533	KOG1213	Sister chromatid cohesion complex Cohesin, subunit RAD21/SCC1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
516030	514918	KOG0575	Polo-like serine/threonine protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
516418	515306	KOG4593	Mitotic checkpoint protein MAD1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
516764	515652	KOG0615	Serine/threonine protein kinase Chk2 and related proteins	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
516874	515762	KOG3687	Tuberin - Rap/ran-GTPase-activating protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
517021	515909	KOG3694	Protein required for meiosis	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
